volume,tipo,caratteri
V007,241_angoscia/delusione,984
V007,242_illusione/speranza,2713
V008,243_interazione,5013
V008,244_smarrimento/dubbio,9397
V008,245_smarrimento/dubbio,4100
V008,246_smarrimento/dubbio,1499
V008,247_smarrimento/dubbio,2184
V008,248_interazione,11339
V008,249_cornice,2652
V008,250_smarrimento/dubbio,1316
V008,251_interazione,4497
V008,252_smarrimento/dubbio,1636
V008,253_interazione,2294
V008,254_interazione,6003
V008,255_cornice,1855
V008,256_interazione,5546
V008,257_interazione,5748
V008,258_interazione,2022
V008,259_cornice,954
V008,260_interazione,2155
V008,261_interazione,3971
V008,262_cornice,1984
V008,263_interazione,17795
V008,264_spostamento,1032
V008,265_spostamento,1140
V008,266_spostamento,917
V008,267_spostamento,462
V008,268_cornice,1077
V008,269_spostamento,3953
V008,270_interazione,742
V008,271_interazione,1585
V008,272_interazione,480
V008,273_interazione,3798
V008,274_smarrimento/dubbio,2225
V008,275_interazione,7563
V008,276_spostamento,449
V008,277_cornice,4343
V008,278_spostamento,1797
V008,279_spostamento,1117
V008,280_interazione,2181
V008,281_interazione,1393
V008,282_spostamento,572
V008,283_spostamento,620
V008,284_spostamento,1260
V008,285_interazione,13086
V008,286_spostamento,210
V008,287_smarrimento/dubbio,252
V008,288_interazione,1966
V008,289_rivelazione,533
V008,290_spostamento,132
V008,291_spostamento,131
V008,292_rivelazione,2573
V008,293_spostamento,2183
V008,294_interazione,1343
V008,295_interazione,3509
V008,296_spostamento,367
V008,297_spostamento,574
V008,298_spostamento,351
V008,299_interazione,489
V008,300_interazione,2225
V008,301_cornice,3155
V009,302_spostamento,564
V009,303_riflessione,4620
V009,304_spostamento,284
V009,305_riflessione,5443
V009,306_riflessione,4524
V009,307_interazione,621
V009,308_riflessione,6509
V009,309_interazione,2031
V009,310_riflessione,2131
V009,311_interazione,801
V009,312_riflessione,1413
V009,313_interazione,1613
V009,314_riflessione,1640
V009,315_interazione,5637
V009,316_riflessione,8188
V009,317_interazione,890
V009,318_riflessione,1675
V009,319_interazione,4632
V009,320_pausa/sospensione,940
V009,321_interazione,6571
V009,322_pausa/sospensione,20398
V009,323_interazione,5807
V009,324_interazione,6859
V009,325_interazione,1696
V009,326_interazione,3964
V009,327_pausa/sospensione,2919
V009,328_interazione,2432
V009,329_riflessione,1262
V009,330_interazione,2498
V009,331_riflessione,1027
V010,332_spostamento,2880
V010,333_interazione,3523
V010,334_riflessione,1435
V010,335_intenzione,4418
V010,336_interazione,575
V010,337_intenzione,284
V010,338_interazione,7035
V010,339_intenzione,82
V010,340_interazione,4967
V010,341_spostamento,1188
V010,342_interazione,4789
V010,343_intenzione,866
V010,344_interazione,4075
V010,345_intenzione,794
V010,346_interazione,9120
V010,347_intenzione,1013
V010,348_intenzione,988
V010,349_interazione,4882
V010,350_interazione,6261
V010,351_interazione,16457
V010,352_interazione,9471
V010,353_attesa,4013
V010,354_interazione,1068
V010,355_interazione,929
V010,356_interazione,4117
V010,357_interazione,2645
V010,358_interazione,1525
V010,359_interazione,6535
V010,360_rivelazione,697
V010,361_intenzione,968
V010,362_interazione,7031
V010,363_attesa,1428
V010,364_interazione,2915
V010,365_interazione,2785
V010,366_interazione,6975
V010,367_attesa,1200
V010,368_interazione,5155
V010,369_spostamento,1482
V010,370_attesa,1816
V010,371_interazione,2637
V010,372_attesa,666
V010,373_interazione,1451
V010,374_interazione,5270
V010,375_interazione,3971
V010,376_interazione,385
V010,377_interazione,2013
V010,378_intenzione,115
V010,379_interazione,2069
V010,380_angoscia/delusione,211
V011,381_struttura,6505
V011,382_struttura,14003
V011,383_struttura,103087
V011,384_struttura,4278
V011,385_struttura,8741
V011,386_struttura,8053
V011,387_struttura,7838
V011,388_struttura,7069
V011,389_struttura,5431
V011,390_struttura,7594
V011,391_struttura,8752
V011,392_struttura,16872
V011,393_struttura,13030
V011,394_struttura,10513
V011,395_struttura,12518
V011,396_struttura,10606
V011,397_struttura,12414
V011,398_struttura,6089
V011,399_struttura,20899
V011,400_struttura,15228
V012,401_struttura,101372
V012,402_struttura,71831
V013,403_struttura,29710
V013,404_struttura,19444
V013,405_struttura,19215
V013,406_struttura,9472
V013,407_struttura,18933
V013,408_struttura,11673
V013,409_struttura,21379
V013,410_struttura,16942
V013,411_struttura,32526
V013,412_struttura,20385
V013,413_struttura,26646
V013,414_struttura,27744
V014,415_struttura,16589
V014,416_struttura,21352
V014,417_struttura,15759
V014,418_struttura,21024
V014,419_struttura,27471
V014,420_struttura,18942
V014,421_struttura,9287
V014,422_struttura,27715
V014,423_struttura,26498
V014,424_struttura,14556
V014,425_struttura,22351
V015,426_struttura,86718
V015,427_struttura,66376
V015,428_struttura,64455
V015,429_struttura,83147
V015,430_struttura,-300705
V016,431_cornice,5655
V016,432_racconto incastonato,11155
V016,433_racconto incastonato,8423
V016,434_racconto incastonato,5076
V016,435_racconto incastonato,4142
V016,436_racconto incastonato,8674
V016,437_racconto incastonato,6818
V016,438_racconto incastonato,8198
V017,439_struttura,236791
