volume,tipo,caratteri
V002,visione,1290
V002,angoscia/delusione,1888
V002,pausa/sospensione,732
V002,incontro maschile,763
V002,iniziativa/piano,719
V002,angoscia/delusione,1069
V002,rivelazione,586
V002,aggressione/scontro,661
V002,struttura,8291
V002,viaggio,1526
V002,angoscia/delusione,1275
V002,angoscia/delusione,639
V002,angoscia/delusione,392
V002,angoscia/delusione,1613
V002,iniziativa/piano,1960
V002,aggressione/scontro,861
V002,struttura,9042
V002,viaggio,1287
V002,compito/missione,210
V002,pausa/sospensione,2615
V002,incontro maschile,2049
V002,fallimento,104
V002,fallimento,-39755
V002,fallimento,210
V002,fallimento,456
V002,fallimento,179
V002,partenza/sparizione,548
V002,incontro femminile,787
V002,incontro maschile,1880
V002,angoscia/delusione,292
V002,angoscia/delusione,337
V002,fallimento,477
V002,fallimento,274
V002,fallimento,292
V002,fallimento,203
V002,fallimento,191
V002,struttura,10063
V002,compito/missione,1598
V002,angoscia/delusione,676
V002,incontro di gruppo,1578
V002,angoscia/delusione,621
V002,pausa/sospensione,619
V002,angoscia/delusione,984
V002,pausa/sospensione,438
V002,angoscia/delusione,175
V002,pausa/sospensione,736
V002,angoscia/delusione,199
V002,pausa/sospensione,1165
V002,incontro femminile,889
V002,angoscia/delusione,352
V002,struttura,9860
V002,incontro maschile,3830
V002,compito/missione,1076
V002,compito/missione,1236
V002,compito/missione,129
V002,partenza/sparizione,157
V002,angoscia/delusione,814
V002,incontro femminile,319
V002,angoscia/delusione,1352
V002,fallimento,811
V002,fallimento,574
V002,fallimento,869
V002,fallimento,620
V002,illusione/speranza,488
V002,struttura,14313
V002,angoscia/delusione,1015
V002,incontro maschile,1264
V002,angoscia/delusione,509
V002,incontro femminile,593
V002,angoscia/delusione,787
V002,incontro femminile,928
V002,angoscia/delusione,1209
V002,rivelazione,1210
V002,incontro maschile,839
V002,angoscia/delusione,630
V002,angoscia/delusione,972
V002,angoscia/delusione,1617
V002,angoscia/delusione,898
V002,illusione/speranza,646
V002,angoscia/delusione,1160
V002,struttura,9240
V002,incontro maschile,1057
V002,angoscia/delusione,1315
V002,iniziativa/piano,735
V002,aggressione/scontro,1412
V002,aggressione/scontro,1243
V002,aggressione/scontro,770
V002,angoscia/delusione,632
V002,aggressione/scontro,1617
V002,angoscia/delusione,430
V002,struttura,7418
V002,riflessione,7396
V002,struttura,12987
V002,fuga,637
V002,compito/missione,1141
V002,rivelazione,610
V002,smarrimento/dubbio,1320
V002,incontro maschile,2738
V002,aiuto/salvataggio,462
V002,fuga,401
V002,angoscia/delusione,1996
V002,attesa,1150
V002,angoscia/delusione,383
V002,illusione/speranza,669
V002,incontro di gruppo,795
V002,iniziativa/piano,646
V002,struttura,15582
V002,angoscia/delusione,1996
V002,illusione/speranza,1246
V002,angoscia/delusione,1901
V002,partenza/sparizione,894
V002,incontro maschile,2126
V002,attesa,732
V002,iniziativa/piano,276
V002,angoscia/delusione,4703
V002,visione,1546
V002,visione,1322
V002,illusione/speranza,1666
V002,struttura,19473
V002,visione,1504
V002,iniziativa/piano,627
V002,visione,265
V002,riflessione,382
V002,angoscia/delusione,813
V002,incontro di gruppo,8865
V002,angoscia/delusione,337
V002,incontro di gruppo,716
V002,incontro di gruppo,1762
V002,angoscia/delusione,461
V002,iniziativa/piano,857
V002,visione,3728
V002,angoscia/delusione,408
V002,smarrimento/dubbio,1577
V002,attesa,1553
V002,rivelazione,1085
V002,visione,1280
V002,fuga,685
V002,illusione/speranza,802
V002,struttura,13175
V002,viaggio,1101
V002,riflessione,2133
V002,compito/missione,707
V002,smarrimento/dubbio,1064
V002,angoscia/delusione,893
V002,visione,5797
V002,arrivo,673
V002,successo,781
V002,struttura,11391
V002,attesa,1062
V002,iniziativa/piano,954
V002,compito/missione,1583
V002,viaggio,974
V002,riflessione,2050
V002,successo,342
V002,illusione/speranza,570
V002,fuga,352
V002,incontro di gruppo,3479
V002,incontro di gruppo,791
V002,fuga,193
V002,incontro di gruppo,1358
V002,fuga,75
V002,incontro di gruppo,454
V002,morte,603
V002,struttura,10457
V002,viaggio,9920
V002,smarrimento/dubbio,1416
V002,riflessione,706
V002,smarrimento/dubbio,1125
V002,riflessione,607
V002,smarrimento/dubbio,734
V002,riflessione,502
V002,smarrimento/dubbio,182
V002,riflessione,2497
V002,smarrimento/dubbio,859
V002,riflessione,430
V002,smarrimento/dubbio,650
V002,morte,518
V002,struttura,10809
V002,incontro maschile,1346
V002,riflessione,1349
V002,compito/missione,114
V002,viaggio,1304
V002,iniziativa/piano,1092
V002,successo,149
V002,successo,234
V002,successo,265
V002,successo,197
V002,incontro di gruppo,519
V002,aggressione/scontro,1167
V002,successo,98
V002,inseguimento/ricerca,554
V002,pausa/sospensione,2695
V002,smarrimento/dubbio,415
V002,successo,172
V002,illusione/speranza,150
V002,successo,93
V002,angoscia/delusione,42
V002,successo,57
V002,iniziativa/piano,364
V002,successo,263
V002,angoscia/delusione,120
V002,iniziativa/piano,295
V002,successo,174
V002,smarrimento/dubbio,539
V002,morte,638
V002,struttura,14887
V002,smarrimento/dubbio,1335
V002,angoscia/delusione,984
V002,aggressione/scontro,654
V002,rivelazione,1407
V002,aggressione/scontro,944
V002,attesa,804
V002,aggressione/scontro,-543
V002,illusione/speranza,1202
V002,aggressione/scontro,421
V002,angoscia/delusione,609
V002,aggressione/scontro,418
V002,angoscia/delusione,705
V002,viaggio,2420
V002,illusione/speranza,776
V002,struttura,15495
V002,situazione,929
V002,rivelazione,1492
V002,fuga,879
V002,illusione/speranza,1169
V002,angoscia/delusione,1565
V002,iniziativa/piano,766
V002,angoscia/delusione,741
V002,inseguimento/ricerca,858
V002,smarrimento/dubbio,7259
V002,ostacolo,718
V002,incontro animale,554
V002,ostacolo,552
V002,incontro animale,481
V002,ostacolo,435
V002,incontro animale,638
V002,ostacolo,432
V002,incontro animale,836
V002,ostacolo,394
V002,incontro animale,492
V002,ostacolo,614
V002,incontro animale,1112
V002,morte,385
V002,successo,186
V002,struttura,9702
V002,incontro maschile,1183
V002,smarrimento/dubbio,416
V002,viaggio,7749
V002,smarrimento/dubbio,993
V002,visione,430
V002,riflessione,619
V002,rivelazione,432
V002,angoscia/delusione,264
V002,illusione/speranza,376
V002,angoscia/delusione,817
V002,iniziativa/piano,473
V002,rivelazione,906
V002,angoscia/delusione,1245
V002,illusione/speranza,503
V002,morte,337
V002,struttura,8658
V002,incontro femminile,1268
V002,incontro maschile,877
V002,pausa/sospensione,1158
V002,angoscia/delusione,729
V002,visione,339
V002,angoscia/delusione,561
V002,visione,71
V002,angoscia/delusione,486
V002,visione,59
V002,angoscia/delusione,3084
V002,struttura,14106
V002,incontro di gruppo,1934
V002,iniziativa/piano,439
V002,rivelazione,1700
V002,compito/missione,841
V002,visione,993
V002,compito/missione,998
V002,illusione/speranza,1471
V002,smarrimento/dubbio,1173
V002,aggressione/scontro,1501
V002,successo,210
V002,fuga,664
V002,iniziativa/piano,508
V002,aggressione/scontro,406
V002,fuga,880
V002,successo,234
V002,struttura,21698
V002,iniziativa/piano,1507
V002,incontro di gruppo,1330
V002,smarrimento/dubbio,1189
V002,angoscia/delusione,1685
V002,iniziativa/piano,1670
V002,incontro femminile,574
V002,incontro femminile,320
V002,fallimento,1867
V002,innamoramento,774
V002,angoscia/delusione,630
V002,illusione/speranza,762
V002,iniziativa/piano,1184
V002,incontro di gruppo,2313
V002,angoscia/delusione,3184
V002,innamoramento,732
V002,angoscia/delusione,529
V002,fallimento,918
V002,angoscia/delusione,1383
V002,struttura,19767
V002,incontro femminile,1943
V002,iniziativa/piano,1686
V002,smarrimento/dubbio,293
V002,iniziativa/piano,524
V002,iniziativa/piano,696
V002,iniziativa/piano,1143
V002,iniziativa/piano,373
V002,iniziativa/piano,976
V002,iniziativa/piano,224
V002,smarrimento/dubbio,1118
V002,iniziativa/piano,1160
V002,smarrimento/dubbio,173
V002,iniziativa/piano,708
V002,smarrimento/dubbio,687
V002,angoscia/delusione,1011
V002,illusione/speranza,846
V002,iniziativa/piano,1287
V002,smarrimento/dubbio,490
V002,iniziativa/piano,590
V002,angoscia/delusione,1179
V002,smarrimento/dubbio,483
V002,iniziativa/piano,585
V002,scena erotica,1074
V002,angoscia/delusione,469
V002,struttura,12910
V002,angoscia/delusione,468
V002,incontro di gruppo,0
V002,illusione/speranza,3179
V002,incontro di gruppo,638
V002,illusione/speranza,766
V002,angoscia/delusione,1305
V002,incontro maschile,1592
V002,angoscia/delusione,682
V002,aggressione/scontro,530
V002,iniziativa/piano,946
V002,fallimento,219
V002,illusione/speranza,942
V002,iniziativa/piano,1183
V002,successo,428
V002,struttura,14101
V002,situazione,2392
V002,incontro maschile,1769
V002,aggressione/scontro,1022
V002,iniziativa/piano,888
V002,successo,59
V002,incontro maschile,1845
V002,fallimento,1002
V002,iniziativa/piano,684
V002,illusione/speranza,1958
V002,#N/A,791
V002,illusione/speranza,1042
V002,partenza/sparizione,486
V002,iniziativa/piano,189
V002,struttura,15971
V002,angoscia/delusione,1654
V002,riflessione,1339
V002,incontro di gruppo,1168
V002,incontro di gruppo,1338
V002,riflessione,1789
V002,angoscia/delusione,641
V002,riflessione,1302
V002,angoscia/delusione,1718
V002,riflessione,946
V002,angoscia/delusione,448
V002,riflessione,474
V002,angoscia/delusione,639
V002,aggressione/scontro,1137
V002,rivelazione,305
V002,morte,1032
V002,struttura,12933
V002,angoscia/delusione,1776
V002,compito/missione,1427
V002,angoscia/delusione,768
V002,incontro di gruppo,683
V002,angoscia/delusione,820
V002,smarrimento/dubbio,1615
V002,incontro animale,489
V002,inseguimento/ricerca,5099
V002,incontro femminile,340
V002,incontro maschile,577
V002,incontro maschile,438
V002,incontro maschile,385
V002,incontro di gruppo,393
V002,smarrimento/dubbio,1249
V002,incontro femminile,1711
V002,angoscia/delusione,223
V002,struttura,10472
V002,pausa/sospensione,1292
V002,incontro maschile,2114
V002,rivelazione,1367
V002,partenza/sparizione,1254
V002,inseguimento/ricerca,908
V002,iniziativa/piano,1470
V002,successo,748
V002,illusione/speranza,1282
V003,,
V003,smarrimento/dubbio,1196
V003,angoscia/delusione,8658
V003,smarrimento/dubbio,1243
V003,smarrimento/dubbio,1057
V003,smarrimento/dubbio,481
V003,smarrimento/dubbio,578
V003,smarrimento/dubbio,618
V003,smarrimento/dubbio,679
V003,smarrimento/dubbio,597
V003,guerra,6822
V003,morte,353
V003,rivelazione,660
V003,attesa,3395
V003,ritorno,5643
V003,incontro di gruppo,150
V003,rivelazione,1120
V003,aggressione/scontro,1435
V003,angoscia/delusione,664
V003,incontro femminile,664
V003,aggressione/scontro,1218
V003,aggressione/scontro,1761
V003,partenza/sparizione,542
V003,inseguimento/ricerca,2689
V003,terna,735
V003,terna,280
V003,terna,482
V003,rivelazione,922
V003,aggressione/scontro,1052
V003,aggressione/scontro,1664
V003,terna,143
V003,terna,102
V003,terna,197
V003,angoscia/delusione,1127
V003,incontro maschile,1127
V003,incontro maschile,3855
V003,terna,187
V003,terna,172
V003,terna,480
V003,racconto incastonato,1035
V003,aggressione/scontro,2127
V003,aggressione/scontro,4751
V003,angoscia/delusione,1355
V003,incontro maschile,4350
V003,terna,957
V003,aggressione/scontro,2352
V003,terna,647
V003,terna,746
V003,aggressione/scontro,2659
V003,partenza/sparizione,1125
V003,incontro di gruppo,14264
V003,angoscia/delusione,3426
V003,aggressione/scontro,545
V003,aggressione/scontro,2069
V003,incontro femminile,10828
V003,innamoramento,741
V003,terna,398
V003,terna,577
V003,terna,426
V003,angoscia/delusione,1186
V003,terna,2183
V003,terna,1890
V003,terna,1255
V003,aggressione/scontro,1083
V003,fuga,838
V003,smarrimento/dubbio,1171
V003,angoscia/delusione,2134
V003,incontro di gruppo,4046
V003,inseguimento/ricerca,883
V003,scena erotica,1027
V003,incontro femminile,1974
V003,incontro maschile,3563
V003,incontro femminile,1493
V003,aggressione/scontro,970
V003,mistero/assurdità,2970
V003,incontro femminile,5856
V003,rivelazione,2133
V003,innamoramento,1164
V003,aiuto/salvataggio,2186
V003,terna,397
V003,terna,398
V003,terna,330
V003,aggressione/scontro,680
V003,terna,158
V003,terna,156
V003,terna,129
V003,aggressione/scontro,3247
V003,illusione/speranza,2235
V003,incontro di gruppo,7057
V003,aiuto/salvataggio,4821
V003,compito/missione,1574
V003,incontro maschile,2251
V003,angoscia/delusione,676
V003,compito/missione,1049
V003,aggressione/scontro,2926
V003,iniziativa/piano,1591
V003,morte,284
V003,incontro femminile,1690
V003,angoscia/delusione,2354
V003,iniziativa/piano,7648
V003,terna,490
V003,terna,822
V003,terna,2370
V003,smarrimento/dubbio,2083
V003,aggressione/scontro,1257
V003,fuga,255
V003,aggressione/scontro,4748
V003,successo,1357
V003,metanarrazione,2448
V003,partenza/sparizione,923
V003,angoscia/delusione,348
V004,,
V004,struttura,51187
V004,illusione/speranza,1243
V004,iniziativa/piano,2398
V004,inseguimento/ricerca,1342
V004,incontro maschile,522
V004,angoscia/delusione,2238
V004,smarrimento/dubbio,1664
V004,partenza/sparizione,241
V004,pausa/sospensione,680
V004,angoscia/delusione,2166
V004,incontro maschile,805
V004,viaggio,1353
V004,arrivo,692
V004,attesa,1365
V004,smarrimento/dubbio,2907
V004,incontro maschile,1039
V004,angoscia/delusione,2332
V004,incontro di gruppo,2656
V004,angoscia/delusione,2295
V004,incontro maschile,3036
V004,inseguimento/ricerca,4252
