,volume,tipo,caratteri
1,V001,1_,
2,V001,2_interazione,3199
3,V001,3_interazione,688
4,V001,4_interazione,1162
5,V001,5_angoscia/delusione,2879
6,V001,6_interazione,1529
7,V001,7_spostamento,113
8,V001,8_angoscia/delusione,2208
9,V001,9_interazione,4563
10,V001,10_spostamento,671
11,V001,11_angoscia/delusione,136
12,V001,12_interazione,1137
13,V001,13_smarrimento/dubbio,1048
14,V001,14_intenzione,773
15,V001,15_angoscia/delusione,2080
16,V001,16_intenzione,1549
17,V001,17_spostamento,232
18,V001,18_smarrimento/dubbio,3010
19,V001,19_smarrimento/dubbio,10789
20,V001,20_intenzione,928
21,V001,21_interazione,3792
22,V001,22_spostamento,81
23,V001,23_intenzione,1042
24,V001,24_spostamento,877
25,V001,25_illusione/speranza,482
26,V001,26_interazione,965
27,V001,27_smarrimento/dubbio,1188
28,V001,28_pausa/sospensione,203
29,V001,29_morte,0
30,V001,30_spostamento,909
31,V001,31_interazione,1224
32,V001,32_angoscia/delusione,935
33,V001,33_racconto incastonato,2275
34,V001,34_interazione,1462
35,V001,35_smarrimento/dubbio,451
36,V001,36_intenzione,717
37,V001,37_angoscia/delusione,1587
38,V001,38_interazione,1519
39,V001,39_smarrimento/dubbio,1219
40,V001,40_interazione,8661
41,V001,41_spostamento,738
42,V001,42_interazione,5226
43,V001,43_spostamento,333
44,V001,44_interazione,13350
45,V001,45_spostamento,792
46,V001,46_attesa,1959
47,V001,47_spostamento,2210
48,V001,48_illusione/speranza,661
49,V001,49_angoscia/delusione,479
50,V001,50_interazione,12557
51,V001,51_spostamento,353
52,V001,52_interazione,2671
53,V001,53_illusione/speranza,1922
54,V001,54_interazione,1664
55,V001,55_interazione,93097
56,V001,56_pausa/sospensione,13078
57,V001,57_situazione,1982
58,V001,58_interazione,21330
59,V001,59_spostamento,1096
60,V001,60_angoscia/delusione,772
61,V001,61_illusione/speranza,1245
62,V001,62_angoscia/delusione,708
63,V001,63_interazione,313
64,V001,64_spostamento,226
65,V001,65_interazione,405
66,V001,66_spostamento,423
67,V001,67_illusione/speranza,503
68,V001,68_rivelazione,674
69,V001,69_angoscia/delusione,563
70,V001,70_interazione,1904
71,V001,71_rivelazione,830
72,V001,72_spostamento,149
73,V001,73_smarrimento/dubbio,433
74,V001,74_interazione,5563
75,V002,75_,
76,V002,76_struttura,16624
77,V002,77_struttura,9906
78,V002,78_struttura,8487
79,V002,79_struttura,13871
80,V002,80_struttura,8291
81,V002,81_struttura,9042
82,V002,82_struttura,10063
83,V002,83_struttura,9860
84,V002,84_struttura,14313
85,V002,85_struttura,9240
86,V002,86_struttura,7418
87,V002,87_struttura,12987
88,V002,88_struttura,15582
89,V002,89_struttura,19473
90,V002,90_struttura,13175
91,V002,91_struttura,11391
92,V002,92_struttura,10457
93,V002,93_struttura,10809
94,V002,94_struttura,14887
95,V002,95_struttura,15495
96,V002,96_struttura,9702
97,V002,97_struttura,8658
98,V002,98_struttura,14106
99,V002,99_struttura,21698
100,V002,100_struttura,19767
101,V002,101_struttura,12910
102,V002,102_struttura,14101
103,V002,103_struttura,15971
104,V002,104_struttura,12933
105,V002,105_struttura,10472
106,V003,106_,
107,V003,107_angoscia/delusione,8658
108,V003,108_situazione,6822
109,V003,109_spostamento,5643
110,V003,110_interazione,664
111,V003,111_interazione,1761
112,V003,112_spostamento,2689
113,V003,113_interazione,1052
114,V003,114_interazione,1664
115,V003,115_interazione,1127
116,V003,116_interazione,3855
117,V003,117_interazione,2127
118,V003,118_interazione,4751
119,V003,119_interazione,4350
120,V003,120_interazione,2352
121,V003,121_interazione,2659
122,V003,122_interazione,14264
123,V003,123_interazione,2069
124,V003,124_interazione,10828
125,V003,125_smarrimento/dubbio,1171
126,V003,126_interazione,4046
127,V003,127_interazione,1974
128,V003,128_interazione,3563
129,V003,129_interazione,1493
130,V003,130_interazione,970
131,V003,131_mistero/assurdità,2970
132,V003,132_interazione,5856
133,V003,133_interazione,2186
134,V003,134_interazione,680
135,V003,135_interazione,3247
136,V003,136_interazione,7057
137,V003,137_interazione,2251
138,V003,138_interazione,2926
139,V003,139_interazione,1690
140,V003,140_angoscia/delusione,2354
141,V003,141_intenzione,7648
142,V003,142_interazione,4748
143,V003,143_metanarrazione,2448
144,V004,144_,
145,V004,145_struttura,51187
146,V004,146_struttura,27190
147,V004,147_struttura,39484
148,V005,148_,
149,V005,149_interazione,682
150,V005,150_racconto incastonato,18159
151,V005,151_spostamento,3297
152,V005,152_spostamento,5988
153,V005,153_interazione,23428
154,V005,154_interazione,19359
155,V005,155_pausa/sospensione,5977
156,V005,156_interazione,6200
157,V005,157_spostamento,98
158,V005,158_interazione,16383
159,V005,159_spostamento,2721
160,V005,160_pausa/sospensione,37423
161,V005,161_interazione,8192
162,V005,162_pausa/sospensione,3907
163,V005,163_interazione,76905
164,V005,164_interazione,21258
165,V005,165_spostamento,2308
166,V005,166_interazione,5116
167,V005,167_spostamento,3301
168,V005,168_interazione,13727
169,V005,169_interazione,16064
170,V005,170_spostamento,1966
171,V005,171_spostamento,2680
172,V005,172_angoscia/delusione,7268
173,V005,173_interazione,10079
174,V005,174_spostamento,2705
175,V005,175_pausa/sospensione,12467
176,V005,176_spostamento,3350
177,V005,177_angoscia/delusione,1635
178,V005,178_spostamento,7390
179,V005,179_interazione,35287
180,V005,180_interazione,12081
181,V005,181_spostamento,657
182,V005,182_spostamento,2414
183,V005,183_angoscia/delusione,2257
184,V005,184_smarrimento/dubbio,6129
185,V005,185_interazione,5860
186,V005,186_interazione,1654
